depth,learning_rate,cv_macro_f1,cv_std,iterations
4,0.1,0.7669,0.0052,807
6,0.03,0.7655,0.0055,1000
6,0.1,0.7648,0.0024,558
4,0.03,0.7628,0.0046,1000
8,0.03,0.7609,0.0061,999
8,0.1,0.7556,0.0046,411
8,0.01,0.7479,0.0105,1000
6,0.01,0.7444,0.0108,1000
4,0.01,0.731,0.011,1000
