depth,learning_rate,cv_macro_f1,cv_std,iterations
4,0.03,0.6473,0.0411,742
4,0.1,0.6443,0.0518,258
6,0.1,0.6416,0.0359,249
6,0.03,0.6407,0.0412,561
4,0.01,0.623,0.0407,997
6,0.01,0.6226,0.0369,997
8,0.1,0.616,0.0443,348
8,0.01,0.6112,0.0375,999
8,0.03,0.6076,0.0282,877
