Comparison,McNemar_Statistic,p_value,Significant
CatBoost vs TabPFN,0.014652014652014652,0.9036549911627509,False
CatBoost vs TabFM,1.6528117359413204,0.19857667045736146,False
TabPFN vs TabFM,2.579754601226994,0.1082384412005734,False
