Context_Size,Model,Accuracy,Macro_F1
100,CatBoost,0.6053,0.5745
100,TabPFN,0.7154,0.7062
100,TabFM,0.7441,0.7363
500,CatBoost,0.6964368347987043,0.6768024126642058
500,TabPFN,0.7764923646459972,0.7691025581365613
500,TabFM,0.7788061082832022,0.771487445762841
Full (17284),CatBoost,0.7850532161036557,0.7763124995492495
Full (17284),TabPFN,0.7857473391948172,0.7786708070027912
500,TabFM,0.7788061082832022,0.771487445762841
