Model,Training_Context,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,ROC_AUC
CatBoost,17284,0.7850532161036557,0.7915120412572207,0.7661573081900643,0.7763124995492495,0.9188995776817931
TabPFN,17284,0.7857473391948172,0.7874650395259865,0.7721672648864139,0.7786708070027912,0.9232038135590939
TabFM,500,0.7788061082832022,0.7904255466831774,0.7608466908614345,0.771487445762841,0.9180335892684294
